Groups:
camcap:camcap_1|data_in_R[7..0] =, camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0],  hex

Data:
time unit: ps, camcap:camcap_1|data_in_R[7..0], camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0], camcap:camcap_1|trig_0_R, 
0, XX, X, X, X, X, X, X, X, X, X, 
20, C6, 1, 1, 0, 0, 0, 1, 1, 0, 0, 
40, C7, 1, 1, 0, 0, 0, 1, 1, 1, 0, 
60, C8, 1, 1, 0, 0, 1, 0, 0, 0, 0, 
80, C9, 1, 1, 0, 0, 1, 0, 0, 1, 0, 
100, CA, 1, 1, 0, 0, 1, 0, 1, 0, 0, 
120, CB, 1, 1, 0, 0, 1, 0, 1, 1, 0, 
140, CC, 1, 1, 0, 0, 1, 1, 0, 0, 0, 
160, CD, 1, 1, 0, 0, 1, 1, 0, 1, 0, 
180, CE, 1, 1, 0, 0, 1, 1, 1, 0, 0, 
200, CF, 1, 1, 0, 0, 1, 1, 1, 1, 0, 
220, D0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 
240, D1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 
260, D2, 1, 1, 0, 1, 0, 0, 1, 0, 0, 
280, D3, 1, 1, 0, 1, 0, 0, 1, 1, 0, 
300, D4, 1, 1, 0, 1, 0, 1, 0, 0, 0, 
320, D5, 1, 1, 0, 1, 0, 1, 0, 1, 0, 
340, D6, 1, 1, 0, 1, 0, 1, 1, 0, 0, 
360, D7, 1, 1, 0, 1, 0, 1, 1, 1, 0, 
380, D8, 1, 1, 0, 1, 1, 0, 0, 0, 0, 
400, D9, 1, 1, 0, 1, 1, 0, 0, 1, 0, 
420, DA, 1, 1, 0, 1, 1, 0, 1, 0, 0, 
440, DB, 1, 1, 0, 1, 1, 0, 1, 1, 0, 
460, DC, 1, 1, 0, 1, 1, 1, 0, 0, 0, 
480, DD, 1, 1, 0, 1, 1, 1, 0, 1, 0, 
500, DE, 1, 1, 0, 1, 1, 1, 1, 0, 0, 
520, DF, 1, 1, 0, 1, 1, 1, 1, 1, 0, 
540, E0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 
560, E1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 
580, E2, 1, 1, 1, 0, 0, 0, 1, 0, 0, 
600, E3, 1, 1, 1, 0, 0, 0, 1, 1, 0, 
620, E4, 1, 1, 1, 0, 0, 1, 0, 0, 0, 
640, E5, 1, 1, 1, 0, 0, 1, 0, 1, 0, 
660, E6, 1, 1, 1, 0, 0, 1, 1, 0, 0, 
680, E7, 1, 1, 1, 0, 0, 1, 1, 1, 0, 
700, E8, 1, 1, 1, 0, 1, 0, 0, 0, 0, 
720, E9, 1, 1, 1, 0, 1, 0, 0, 1, 0, 
740, EA, 1, 1, 1, 0, 1, 0, 1, 0, 0, 
760, EB, 1, 1, 1, 0, 1, 0, 1, 1, 0, 
780, EC, 1, 1, 1, 0, 1, 1, 0, 0, 0, 
800, ED, 1, 1, 1, 0, 1, 1, 0, 1, 0, 
820, EE, 1, 1, 1, 0, 1, 1, 1, 0, 0, 
840, EF, 1, 1, 1, 0, 1, 1, 1, 1, 0, 
860, F0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 
880, F1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 
900, F2, 1, 1, 1, 1, 0, 0, 1, 0, 0, 
920, F3, 1, 1, 1, 1, 0, 0, 1, 1, 0, 
940, F4, 1, 1, 1, 1, 0, 1, 0, 0, 0, 
960, F5, 1, 1, 1, 1, 0, 1, 0, 1, 0, 
980, F6, 1, 1, 1, 1, 0, 1, 1, 0, 0, 
1000, F7, 1, 1, 1, 1, 0, 1, 1, 1, 0, 
1020, F8, 1, 1, 1, 1, 1, 0, 0, 0, 0, 
1040, F9, 1, 1, 1, 1, 1, 0, 0, 1, 0, 
1060, FA, 1, 1, 1, 1, 1, 0, 1, 0, 0, 
1080, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 
1100, FC, 1, 1, 1, 1, 1, 1, 0, 0, 0, 
1120, FD, 1, 1, 1, 1, 1, 1, 0, 1, 0, 
1140, FE, 1, 1, 1, 1, 1, 1, 1, 0, 0, 
1160, FF, 1, 1, 1, 1, 1, 1, 1, 1, 0, 
1180, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1200, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
1220, 02, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
1240, 03, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
1260, 04, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
1280, 05, 0, 0, 0, 0, 0, 1, 0, 1, 0, 
1300, 06, 0, 0, 0, 0, 0, 1, 1, 0, 0, 
1320, 07, 0, 0, 0, 0, 0, 1, 1, 1, 0, 
1340, 08, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
1360, 09, 0, 0, 0, 0, 1, 0, 0, 1, 0, 
1380, 0A, 0, 0, 0, 0, 1, 0, 1, 0, 0, 
1400, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 
1420, 0C, 0, 0, 0, 0, 1, 1, 0, 0, 0, 
1440, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 0, 
1460, 0E, 0, 0, 0, 0, 1, 1, 1, 0, 0, 
1480, 0F, 0, 0, 0, 0, 1, 1, 1, 1, 0, 
1500, 10, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
1520, 11, 0, 0, 0, 1, 0, 0, 0, 1, 0, 
1540, 12, 0, 0, 0, 1, 0, 0, 1, 0, 0, 
1560, 13, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
1580, 14, 0, 0, 0, 1, 0, 1, 0, 0, 0, 
1600, 15, 0, 0, 0, 1, 0, 1, 0, 1, 0, 
1620, 16, 0, 0, 0, 1, 0, 1, 1, 0, 0, 
1640, 17, 0, 0, 0, 1, 0, 1, 1, 1, 0, 
1660, 18, 0, 0, 0, 1, 1, 0, 0, 0, 0, 
1680, 19, 0, 0, 0, 1, 1, 0, 0, 1, 0, 
1700, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 0, 
1720, 1B, 0, 0, 0, 1, 1, 0, 1, 1, 0, 
1740, 1C, 0, 0, 0, 1, 1, 1, 0, 0, 0, 
1760, 1D, 0, 0, 0, 1, 1, 1, 0, 1, 0, 
1780, 1E, 0, 0, 0, 1, 1, 1, 1, 0, 0, 
1800, 1F, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
1820, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
1840, 21, 0, 0, 1, 0, 0, 0, 0, 1, 0, 
1860, 22, 0, 0, 1, 0, 0, 0, 1, 0, 0, 
1880, 23, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
1900, 24, 0, 0, 1, 0, 0, 1, 0, 0, 0, 
1920, 25, 0, 0, 1, 0, 0, 1, 0, 1, 0, 
1940, 26, 0, 0, 1, 0, 0, 1, 1, 0, 0, 
1960, 27, 0, 0, 1, 0, 0, 1, 1, 1, 0, 
1980, 28, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
2000, 29, 0, 0, 1, 0, 1, 0, 0, 1, 0, 
2020, 2A, 0, 0, 1, 0, 1, 0, 1, 0, 0, 
2040, 2B, 0, 0, 1, 0, 1, 0, 1, 1, 0, 
2060, 2C, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
2080, 2D, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
2100, 2E, 0, 0, 1, 0, 1, 1, 1, 0, 0, 
2120, 2F, 0, 0, 1, 0, 1, 1, 1, 1, 0, 
2140, 30, 0, 0, 1, 1, 0, 0, 0, 0, 0, 
2160, 31, 0, 0, 1, 1, 0, 0, 0, 1, 0, 
2180, 32, 0, 0, 1, 1, 0, 0, 1, 0, 0, 
2200, 33, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
2220, 34, 0, 0, 1, 1, 0, 1, 0, 0, 0, 
2240, 35, 0, 0, 1, 1, 0, 1, 0, 1, 0, 
2260, 36, 0, 0, 1, 1, 0, 1, 1, 0, 0, 
2280, 37, 0, 0, 1, 1, 0, 1, 1, 1, 0, 
2300, 38, 0, 0, 1, 1, 1, 0, 0, 0, 0, 
2320, 39, 0, 0, 1, 1, 1, 0, 0, 1, 0, 
2340, 3A, 0, 0, 1, 1, 1, 0, 1, 0, 0, 
2360, 3B, 0, 0, 1, 1, 1, 0, 1, 1, 0, 
2380, 3C, 0, 0, 1, 1, 1, 1, 0, 0, 0, 
2400, 3D, 0, 0, 1, 1, 1, 1, 0, 1, 0, 
2420, 3E, 0, 0, 1, 1, 1, 1, 1, 0, 0, 
2440, 3F, 0, 0, 1, 1, 1, 1, 1, 1, 0, 
2460, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
2480, 41, 0, 1, 0, 0, 0, 0, 0, 1, 0, 
2500, 42, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
2520, 43, 0, 1, 0, 0, 0, 0, 1, 1, 0, 
2540, 44, 0, 1, 0, 0, 0, 1, 0, 0, 0, 
2560, 45, 0, 1, 0, 0, 0, 1, 0, 1, 0, 
2580, 46, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
2600, 47, 0, 1, 0, 0, 0, 1, 1, 1, 0, 
2620, 48, 0, 1, 0, 0, 1, 0, 0, 0, 0, 
2640, 49, 0, 1, 0, 0, 1, 0, 0, 1, 0, 
2660, 4A, 0, 1, 0, 0, 1, 0, 1, 0, 0, 
2680, 4B, 0, 1, 0, 0, 1, 0, 1, 1, 0, 
2700, 4C, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
2720, 4D, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
2740, 4E, 0, 1, 0, 0, 1, 1, 1, 0, 0, 
2760, 4F, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
2780, 50, 0, 1, 0, 1, 0, 0, 0, 0, 0, 
2800, 51, 0, 1, 0, 1, 0, 0, 0, 1, 0, 
2820, 52, 0, 1, 0, 1, 0, 0, 1, 0, 0, 
2840, 53, 0, 1, 0, 1, 0, 0, 1, 1, 0, 
2860, 54, 0, 1, 0, 1, 0, 1, 0, 0, 0, 
2880, 55, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
2900, 56, 0, 1, 0, 1, 0, 1, 1, 0, 0, 
2920, 57, 0, 1, 0, 1, 0, 1, 1, 1, 0, 
2940, 58, 0, 1, 0, 1, 1, 0, 0, 0, 0, 
2960, 59, 0, 1, 0, 1, 1, 0, 0, 1, 0, 
2980, 5A, 0, 1, 0, 1, 1, 0, 1, 0, 0, 
3000, 5B, 0, 1, 0, 1, 1, 0, 1, 1, 0, 
3020, 5C, 0, 1, 0, 1, 1, 1, 0, 0, 0, 
3040, 5D, 0, 1, 0, 1, 1, 1, 0, 1, 0, 
